@title,Русский
@language,ru-RU
@author,DarkUFO
@scale,auto
@appli,29 - Do not change
@version,3.01 - Do not change
#00000,Английский
#00001,Ок
#00002,Конец
#00003,Назад
#00004,Да
#00005,Нет
#00006,Ок
#00007,Сохранить
#00008,Меню
#00009,Self
#00010,Top
#00011,Сайт
#00012,Далее
#00013,Детали
#00014,Переключить
#00015,Информация
#00016,Наблюдать
#00017,Cancel
#00018,Английский
#00019,Нет
#00020,Санхиллс
#00021,Джон Смит
#00022,Джейн Смит
#00023,Имя школы
#00024,Rename
#00025,Имя
#00026,High scores are available in the Full Version!
#00027,Солнечная долина
#00028,Нормалвилль
#00029,Приозерье
#00030,Холмистая долина
#00031,Небесные холмы
#00032,Хорошо сбалансированная карта
#00033,Обычный пригород
#00034,Красивая карта с озером
#00035,Горная карта
#00036,Богатый городской район
#00037,Деревянный пол
#00038,Panel Hall
#00039,Разрушить
#00040,Земляная дорожка
#00041,Sidewalk
#00042,Grass
#00043,Цветочная клумба
#00044,Озеро
#00045,Raise
#00046,Lower
#00047,Деревья
#00048,Маленькое дерево
#00049,Большое дерево
#00050,Мифическое дерево
#00051,Азалия
#00052,Сосна
#00053,Бамбук
#00054,Poplar
#00055,Пальма
#00056,Большой камень
#00057,Locker Rm
#00058,Клуб
#00059,Колодец
#00060,Доска объяв.
#00061,Подсобка
#00062,Трамплин
#00063,Dojo
#00064,Totem Pole
#00065,Rocket
#00066,Arcade
#00067,Скамейка
#00068,Планетарий
#00069,Часы
#00070,Буфет
#00071,Vending Rm
#00072,Фонтанчики
#00073,Rest Rm
#00074,Misc Room
#00075,Lounge
#00076,PA Rm
#00077,Кабинет медсестры
#00078,Библиотека
#00079,AV Room
#00080,Tiny Mart
#00081,Lab
#00082,Music Rm
#00083,Кафетерий
#00084,Art Rm
#00085,Hm Ec Rm
#00086,Comp Rm
#00087,Спортплощадка
#00088,Теннис. поле
#00089,Бейсбол. поле
#00090,Баскетб. поле
#00091,Футбол. поле
#00092,Спортзал
#00093,Бассейн
#00094,Мусоросж.
#00095,Класс Г1
#00096,Класс Г2
#00097,Класс Г3
#00098,Prncpl Rm
#00099,Ворота
#00100,Курица
#00101,Кролик
#00102,Свинья
#00103,Корова
#00104,Утка
#00105,Панда
#00106,Коала
#00107,Жираф
#00108,Аллигатор
#00109,Слон
#00110,Лошадь
#00111,Крот
#00112,Кайробот
#00113,Учительская
#00114,Bronze St
#00115,Gold St
#00116,Stone Robot
#00117,Gold Robot
#00118,Вишневые деревья
#00119,Грядка
#00120,Used for changing.
#00121,Used for club activities.
#00122,Дает свежую питьевую воду
#00123,Распространяет информацию
#00124,Помогает выращивать урожай
#00125,Puts a bounce in your step.
#00126,Learn self-defense.
#00127,Has a mysterious atmosphere.
#00128,Will it fly someday?
#00129,Nice for taking a break.
#00130,Perfect for a sun bathing.
#00131,Great for stargazing.
#00132,Grows along with your school.
#00133,Продает закуски и канцтовары
#00134,Sells invigorating drinks.
#00135,Мыть руки важно
#00136,With heated seats!
#00137,A big, multi-purpose room.
#00138,For relaxing with friends.
#00139,For making announcements.
#00140,Come lie down if you're ill.
#00141,Full of useful boОкs.
#00142,Watch educational videos.
#00143,Sells convenient goods.
#00144,Full of lab equipment.
#00145,Has posters of musicians.
#00146,Sells cheap meals and snacks.
#00147,Full of colorful art supplies.
#00148,Has high-tech sewing machines.
#00149,Has the latest computers.
#00150,Место для выполнения упражнений
#00151,Popular with the fashionable.
#00152,Greatly boosts athletic skill.
#00153,A popular high school sport.
#00154,Learn agility and endurance.
#00155,Used for PE and assemblies.
#00156,An unheated, standard pool.
#00157,Место для сжигания мусора
#00158,Get sage advice.
#00159,Spirit boosts sales price.
#00160,Lays fresh eggs when mature.
#00161,Produces toys when mature.
#00162,Produces meat when mature.
#00163,Produces milk when mature.
#00164,Produces toys when mature.
#00165,Produces badges when mature.
#00166,Produces pouches when mature.
#00167,Produces rulers when mature.
#00168,Produces bags when mature.
#00169,Produces coОкies when mature.
#00170,Produces wallets when mature.
#00171,Produces hammers when mature.
#00172,Produces toys when mature.
#00173,A statue of a famous person.
#00174,An impressive bronze statue.
#00175,A statue of a myterious robot.
#00176,A mysterious shiny gold robot.
#00177,Exercise Spot
#00178,Date Spot
#00179,Friend Spot
#00180,SpoОкy Spot
#00181,Study Spot
#00182,Art Spot
#00183,Homey Spot
#00184,Shopping Spot
#00185,Sports Spot
#00186,Famous Spot
#00187,Meat Spot
#00188,Garden Spot
#00189,Twilight Spot
#00190,Power Spot
#00191,Fashion Spot
#00192,Cosmos Spot
#00193,Fiery Spot
#00194,Waiting Spot
#00195,Club Spot
#00196,Relaxing Spot
#00197,Water Spot
#00198,Bio Spot
#00199,Racing Spot
#00200,Tall Spot
#00201,Action Spot
#00202,Africa Spot
#00203,CoОкing Spot
#00204,Election Spot
#00205,Jealousy Spot
#00206,Kairo Spot
#00207,Боб Смит
#00208,Гай Пич
#00209,Тэд Билал
#00210,Хуг Марис
#00211,Кэил Крамп
#00212,Алекс Эванс
#00213,Вин Васил
#00214,Аллан Сони
#00215,Эрик Мумма
#00216,Коди Вайс
#00217,Эд Хислоп
#00218,Джесси Гав
#00219,Вин Стайл
#00220,Коди Битс
#00221,Тэд Арманд
#00222,Эрик Питен
#00223,Дутч Пит
#00224,Дейв Валлс
#00225,Дариус Ида
#00226,Боб Балиус
#00227,Хал Риис
#00228,Род Литка
#00229,Ал Кунха
#00230,Син Вайс
#00231,Элвин Бэй
#00232,Соня Лева
#00233,Элвуд Кох
#00234,Джексох Ху
#00235,Джейн Фрак
#00236,Роб Гросс
#00237,Эйб Плу
#00238,Тэмми Ган
#00239,Анна Лоу
#00240,Таня Джилл
#00241,Мэдди Колл
#00242,Элис Мун
#00243,Анна Форд
#00244,Трис Хабер
#00245,Венди Шал
#00246,Викки Холл
#00247,Кэти Линг
#00248,Джейн Като
#00249,Холли Бон
#00250,Миа Пинто
#00251,Джун Голд
#00252,Ева Расин
#00253,Элла Вит
#00254,Эми Суби
#00255,Белла Сола
#00256,Кира Кафф
#00257,Перл Таф
#00258,Джейн Бон
#00259,Дэни Виш
#00260,Джуди Бад
#00261,Мэри Бак
#00262,Тони Элан
#00263,Элси Пик
#00264,Фэй Двейр
#00265,Ольга Олм
#00266,Джанет Спел
#00267,Ида Мэйс
#00268,Кристи Тод
#00269,Нина Товн
#00270,Инна Кор
#00271,Крис Майз
#00272,Хилда Баг
#00273,Вилл Баум
#00274,Джуди Холс
#00275,Алан Джойс
#00276,Ирис Толб
#00277,Дуг Лоу
#00278,Адам Бэйн
#00279,Лула Кейн
#00280,Эдна Анджел
#00281,Пат Грин
